РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",905,"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),397
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2749,Икономическа информатика - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),396
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2764,Икономика и мениджмънт - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),395.5
СРЕДЕЦ,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",3148,"Предприемачески - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),395.5
СРЕДЕЦ,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1364,"Природни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),395.5
ВЪЗРАЖДАНЕ,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1952,"Чужди езици - АЕ интензивно, Иврит",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),394.5
ОБОРИЩЕ,2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",4407,"Икономическо развитие - АЕ разширено, ГИ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),394.25
СЛАТИНА,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2456,"Чужди езици - ЯЕ интензивно,   АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),394.25
ВЪЗРАЖДАНЕ,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1307,"Чужди езици - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),394
СРЕДЕЦ,2222133,"133 Средно училище  „Александър Сергеевич Пушкин”, ГР.СОФИЯ",2272,"Чужди езици - РЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),393
СРЕДЕЦ,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1365,"Природни науки - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),392
СРЕДЕЦ,2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",360,"Икономическо развитие - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),391.5
ИЗГРЕВ,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1532,Чужди езици - РЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),391
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",777,"Оперативно счетоводство - РЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),390
ЛОЗЕНЕЦ,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",838,Брокер недвижими имоти - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * ГИ),389.5
СРЕДЕЦ,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",1366,"Икономическо развитие - АЕ разширено, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),388.5
СРЕДЕЦ,2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",4450,"Природни науки - БЗО, ХООС, АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),388
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",3955,Програмиране на изкуствен интелект - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),388
ВИТОША,2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",957,"Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),387.25
ВИТОША,2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",958,"Хуманитарни науки - АЕ интензивно,  ИЕ, БЕЛ и ИЦ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),385
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",4717,Икономика и мениджмънт - ФЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),383.5
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",3603,Икономическа информатика - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),382.5
МЛАДОСТ,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици, ГР.СОФИЯ",1546,Хуманитарни науки - АЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),381.75
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",4388,Оперативно счетоводство - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),381.5
СЕРДИКА,2220308,"Профилирана гимназия за изобразителни изкуства  ""Професор Николай Райнов"", ГР.СОФИЯ",1572,Компютърна графика,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ + 1 * ИИ),381.25
СЛАТИНА,2221023,"23 Средно училище ""Фредерик Жолио-Кюри"", ГР.СОФИЯ",916,"Чужди езици - ИтЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),381
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",462,"Моден дизайн - ИтЕ, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),378.75
ИЗГРЕВ,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",4079,Икономическо развитие - АЕ интензивно,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),378.5
ИЗГРЕВ,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1526,Природни науки - АЕ интензивно,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),378
СРЕДЕЦ,2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",4814,"Природни науки - БЗО, ХООС, АЕ интензивно, ФЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),376.5
ВЪЗРАЖДАНЕ,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1308,"Природни науки - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),374
СЛАТИНА,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2451,"Чужди езици - КитЕ интензивно,    АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),373.5
ВЪЗРАЖДАНЕ,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1961,"Природни науки - АЕ интензивно, Иврит",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),373
СРЕДЕЦ,2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",4446,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ),373
ИЗГРЕВ,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),371
СЛАТИНА,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",1354,"Математически - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),369.5
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",738,Системно програмиране - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),368.75
ВЪЗРАЖДАНЕ,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",2602,"Природни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз),368.5
ТРИАДИЦА,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",2647,"Предприемачески - ИЕ, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз),368
СРЕДЕЦ,2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2215,"Предприемачески - ФЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ),367.5
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",328,Компютърна техника и технологии - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),367
ИЗГРЕВ,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",4826,"Интериорен дизайн - ИтЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ),365
ИЛИНДЕН,2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2914,Графичен дизайн - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),363.25
ВИТОША,2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),363
ТРИАДИЦА,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",4448,"Обществени науки - АЕ, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ГИ),360.75
СРЕДЕЦ,2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2159,"Природни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),359
СТУДЕНТСКИ,2223055,"55 СРЕДНО УЧИЛИЩЕ  ""ПЕТКО КАРАВЕЛОВ"", ГР.СОФИЯ",5038,Програмиране на изкуствен интелект - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),359
КРАСНО СЕЛО,2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",4939,"Предприемачески - НЕ интензивно, НорвЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),358
ВЪЗРАЖДАНЕ,2204134,"134. средно училище  ""Димчо Дебелянов"", ГР.СОФИЯ",1968,"Софтуерни и хардуерни науки - АЕ интензивно, Иврит",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),357
ВИТОША,2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),357
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",743,Приложно програмиране - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),356
КРАСНО СЕЛО,2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",4941,"Предприемачески - АЕ интензивно, ШвЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),352.5
СЛАТИНА,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ"", ГР.СОФИЯ",2466,"Софтуерни и хардуени науки - АЕ интензивно, КорЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ),352.5
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",317,Медицинска техника - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),352
СТУДЕНТСКИ,2223055,"55 СРЕДНО УЧИЛИЩЕ  ""ПЕТКО КАРАВЕЛОВ"", ГР.СОФИЯ",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),351.5
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2904,"Чужди езици - АЕ интензивно,  НЕ или ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),349
СЛАТИНА,2221093,"93-то Средно училище ""Александър Теодоров - Балан"", ГР.СОФИЯ",2878,"Обществени науки - АЕ интензивно, РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * КМИТ),349
ЛОЗЕНЕЦ,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",3676,"Предприемачески - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),348.5
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1642,"Хуманитарни науки - АрЕ интензивно, АЕ; БЕЛ и Фил",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИЦ),348.5
СЕРДИКА,2220029,"29. Средно училище  ""Кузман Шапкарев"", ГР.СОФИЯ",2408,Софтуерни и хардуерни науки - АЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),347.5
ЛОЗЕНЕЦ,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",906,"Предприемачески - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),347
КРАСНО СЕЛО,2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",4940,"Предприемачески - НЕ интензивно, ДатЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),346.5
СЛАТИНА,2221093,"93-то Средно училище ""Александър Теодоров - Балан"", ГР.СОФИЯ",2876,"Обществени науки - РЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * КМИТ),342.5
МЛАДОСТ,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици, ГР.СОФИЯ",1557,Природни науки - АЕ интензивно,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * БЗО),342
СЛАТИНА,2221023,"23 Средно училище ""Фредерик Жолио-Кюри"", ГР.СОФИЯ",930,"Предприемачески - АЕ, ИтЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),341.5
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",472,"Бутикови облекла - ИтЕ, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),340
СЛАТИНА,2221023,"23 Средно училище ""Фредерик Жолио-Кюри"", ГР.СОФИЯ",939,"Икономическо развитие - АЕ, ИтЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),337.5
ТРИАДИЦА,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ"", ГР.СОФИЯ",2637,Софтуерни и хардуерни науки - АЕ; ИЕ,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),337.5
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",4674,"Театрален грим и перуки, АЕ, ФЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),337
ИЛИНДЕН,2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",4019,Фотография,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),335.5
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",321,"Кинотехника, аудио- и видеосистеми - АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),333
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",4009,Фотография - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),333
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",325,Лазерна и оптична техника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),331
МЛАДОСТ,2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1123,Рекламна графика - АЕ,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ + 1 * ИИ),329.5
КРАСНО СЕЛО,2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",778,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз),329.5
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",505,"Сценичен костюм - АЕ, ФЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),328
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),327.5
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",324,Очна оптика - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),327
СЕРДИКА,2220029,"29. Средно училище  ""Кузман Шапкарев"", ГР.СОФИЯ",4405,Софтуерни и хардуерни науки - ИЕ разширено,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),326.25
СЕРДИКА,2220029,"29. Средно училище  ""Кузман Шапкарев"", ГР.СОФИЯ",3515,Софтуерни и хардуерни науки /АЕ/,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),324.5
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",722,Компютърни мрежи - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),324.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",4290,"Театрален, кино и телевизионен декор - АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),322
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,Съдебна администрация - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ЧЕз),321
СЛАТИНА,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо"", ГР.СОФИЯ",1023,"Чужди езици - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),318
СЛАТИНА,2221093,"93-то Средно училище ""Александър Теодоров - Балан"", ГР.СОФИЯ",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ),318
МЛАДОСТ,2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",2579,Хуманитарни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ФВС),313.5
ОВЧА КУПЕЛ,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ"", ГР.СОФИЯ",4623,Изобразително изкуство - АЕ,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ЧЕз),312
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",319,Измервателна и организационна техника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),311.5
НАДЕЖДА,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",749,"Чужди езици - АЕ интензивно, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),310.5
ТРИАДИЦА,2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",4439,"Предприемачески - АЕ разширено, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),310
КРАСНО СЕЛО,2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",784,"Природни науки - АЕ интензивно, ИтЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),310
ТРИАДИЦА,2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",515,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),307.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),307.25
СЕРДИКА,2220029,"29. Средно училище  ""Кузман Шапкарев"", ГР.СОФИЯ",4459,"Природни науки - АЕ разширено, БЗО и ХООС",(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),307
МЛАДОСТ,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН"", ГР.СОФИЯ",1660,Софтуерни и хардуерни науки - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),306.5
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",3271,"Природни науки - АЕ интензивно, ИЕ или НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО),306.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),306
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),306
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),306
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",4292,"Художествено осветление за театър, кино и телевизия - АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),304
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2762,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),302.5
ПОДУЯНЕ,2219044,"44. Средно училище ""Неофит Бозвели"", ГР.СОФИЯ",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),302
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",707,Електронна търговия - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),301.5
