РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
СЛАТИНА,2221031,"31 Средно училище за чужди езици  и математика ""Иван Вазов"", ГР.СОФИЯ",2766,"Чужди езици - ИЕ интензивно,   АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),440
КРАСНО СЕЛО,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ + 1 * ИИ),439.25
СРЕДЕЦ,2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",2158,"Чужди езици - ФЕ интензивно,   АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),438.5
ИЗГРЕВ,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",4140,"Програмиране на роботи - АЕ, НЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),437
ЛОЗЕНЕЦ,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",388,"Чужди езици - НЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),436
СЛАТИНА,2221031,"31 Средно училище за чужди езици  и математика ""Иван Вазов"", ГР.СОФИЯ",2755,"Чужди езици - АЕ интензивно,   ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),435.5
СРЕДЕЦ,2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",2163,"Чужди езици - ФЕ интензивно,  ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),435
КРАСНО СЕЛО,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2276,"Компютърна графика - АЕ интензивно, Японски език",(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ),435
ТРИАДИЦА,2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",3635,"Природни науки БЗО, ХООС, ИЕ - интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),433.5
ЛОЗЕНЕЦ,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",762,Геодезия - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ),433.5
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",751,"Банково дело - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),432.5
СРЕДЕЦ,2222009,"9 Френска езикова гимназия  ""Алфонс дьо Ламартин"", ГР.СОФИЯ",4338,"Чужди езици - ФЕ интензивно,   Латински език",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),432.5
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",4091,Природни науки - НЕ БЗО ХООС,"(1 * БЕЛ + 1 * МАТ + 1 * НПМГ, Х + 1 * НПМГ, Б) + (1 * БЗО + 1 * ХООС)",431.32
ВЪЗРАЖДАНЕ,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3372,"Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),431
ТРИАДИЦА,2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",3017,"Природни науки - Биол, Хим, АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),431
ТРИАДИЦА,2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",2565,"Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИЦ),431
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1637,"Чужди езици - ЯЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),431
ЛОЗЕНЕЦ,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",390,"Чужди езици - ФЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),430.5
ТРИАДИЦА,2224022,"22 Средно езиково училище  ""Георги Стойков Раковски"", ГР.СОФИЯ",4767,"Обществени науки  - Ист/Фил, ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИЦ),430
СЛАТИНА,2221031,"31 Средно училище за чужди езици  и математика ""Иван Вазов"", ГР.СОФИЯ",2759,"Чужди езици - НЕ интензивно,   АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),429
СРЕДЕЦ,2222133,"133 Средно училище  „Александър Сергеевич Пушкин”, ГР.СОФИЯ",2269,"Чужди езици - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),428.5
ЛОЗЕНЕЦ,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",389,"Чужди езици - интензивно НЕ,  РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),428
ВЪЗРАЖДАНЕ,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),428
ВЪЗРАЖДАНЕ,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2771,"Чужди езици - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),427
ИЗГРЕВ,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2360,"Компютърни мрежи - АЕ, НЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),426.5
ВЪЗРАЖДАНЕ,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2773,"Чужди езици - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),426.5
